Building_Class,Zoning_Class,Lot_Size,Property_Shape,Land_Outline,Lot_Configuration,Neighborhood,Condition1,House_Type,House_Design,Roof_Design,Roof_Quality,Exterior1st,Exterior2nd,Brick_Veneer_Area,Exterior_Material,Exterior_Condition,Foundation_Type,Basement_Height,Basement_Condition,Exposure_Level,BsmtFinType1,BsmtFinSF2,Heating_Quality,Air_Conditioning,Electrical_System,LowQualFinSF,Underground_Full_Bathroom,Underground_Half_Bathroom,Half_Bathroom_Above_Grade,Kitchen_Quality,Functional_Rate,Fireplaces,Garage,Garage_Finish_Year,Garage_Quality,Garage_Condition,Pavedd_Drive,W_Deck_Area,Open_Lobby_Area,Enclosed_Lobby_Area,Three_Season_Lobby_Area,Screen_Lobby_Area,Pool_Area,Miscellaneous_Value,Sale_Type,Sale_Condition,Sale_Price
20,RLD,11600,Reg,Lvl,I,NAmes,Norm,1Fam,1Story,Hip,SS,Wd Sdng,Wd Sdng,175.0,TA,TA,CB,TA,TA,No,Rec,0,TA,Y,SBrkr,0,0,0,1,TA,TF,0,Attchd,RFn,TA,TA,Y,-69.6229756,44.57037652,-29.35053626,0,0,0,0,WD,Normal,145250
75,RLD,11888,IR1,Bnk,I,BrkSide,PosN,1Fam,2.5Unf,Gable,SS,Wd Sdng,Wd Shng,0.0,TA,TA,BT,TA,TA,No,Unf,0,Gd,N,FuseA,0,0,0,0,Gd,TF,0,Detchd,Unf,TA,TA,Y,-36.54673397,-3.607716316,76.43485437,0,0,0,0,WD,Normal,214500
70,RMD,6402,Reg,Lvl,C,IDOTRR,Norm,1Fam,2Story,Gable,SS,Wd Sdng,Wd Shng,0.0,TA,TA,PC,TA,TA,Mn,Unf,0,TA,N,SBrkr,0,0,0,0,TA,TF,0,Detchd,Unf,Fa,Fa,N,197.002216,16.78823139,-67.61449508,0,0,0,0,WD,Normal,78000
90,RLD,10624,IR1,Lvl,I,NAmes,Norm,Duplex,1Story,Gable,SS,HdBoard,HdBoard,84.0,TA,TA,CB,TA,TA,No,GLQ,264,TA,Y,SBrkr,0,0,1,0,TA,TF,0,Detchd,Unf,TA,TA,Y,150.1902454,27.57977458,104.7287392,0,0,0,0,WD,Normal,119000
20,RLD,8176,Reg,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,0.0,TA,TA,CB,TA,TA,No,Rec,0,Fa,Y,SBrkr,0,1,0,0,TA,TF,0,Attchd,RFn,TA,TA,Y,117.3876139,74.15238994,15.88895599,0,0,0,0,WD,Normal,139000
20,RLD,10655,IR1,Lvl,I,NridgHt,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,296.0,Gd,TA,PC,Gd,TA,No,GLQ,479,Ex,Y,SBrkr,0,1,0,0,Gd,TF,1,Attchd,RFn,TA,TA,Y,-89.5799516,-31.94453116,29.88446974,0,0,0,0,WD,Normal,284000
120,RMD,8198,Reg,Lvl,FR3P,NridgHt,Norm,TwnhsE,1Story,Gable,SS,VinylSd,VinylSd,146.0,Gd,TA,PC,Gd,TA,Av,GLQ,0,Ex,Y,SBrkr,0,1,0,0,Gd,TF,1,Attchd,RFn,TA,TA,Y,-71.89972578,6.043517592,79.30790374,0,0,0,0,WD,Normal,207000
60,RLD,9042,IR1,Lvl,I,Gilbert,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,0.0,TA,TA,PC,Gd,TA,Gd,GLQ,0,Gd,Y,SBrkr,0,1,0,1,TA,TF,2,Attchd,Fin,TA,TA,Y,33.5805377,-68.18891511,57.685033,0,0,0,0,WD,Normal,192000
190,RLD,164660,IR1,HLS,C,Timber,Norm,2fmCon,1.5Fin,Gable,SS,Plywood,Plywood,0.0,TA,TA,CB,TA,TA,Gd,ALQ,147,Ex,Y,SBrkr,0,2,0,0,TA,TF,2,Attchd,Fin,TA,TA,Y,137.8539254,11.48045555,97.84296749,0,0,0,700,WD,Normal,228950
20,RLD,14157,IR1,HLS,C,StoneBr,Norm,1Fam,1Story,Hip,SS,VinylSd,VinylSd,200.0,Gd,TA,PC,Ex,TA,Gd,GLQ,0,Ex,Y,SBrkr,0,1,0,0,Gd,TF,1,Attchd,Fin,TA,TA,Y,253.8652711,97.59743583,22.87716511,0,0,0,0,WD,Normal,377426
20,RLD,9135,Reg,Lvl,I,CollgCr,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,113.0,Gd,TA,PC,Gd,TA,Av,GLQ,0,Ex,Y,SBrkr,0,1,0,0,Gd,TF,0,Attchd,RFn,TA,TA,Y,-22.04946525,44.9255819,73.47026514,0,0,0,0,WD,Normal,214000
20,RLD,14145,Reg,Lvl,C,NWAmes,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,0.0,Gd,TA,CB,Gd,TA,Mn,ALQ,0,Ex,Y,SBrkr,0,1,0,0,Gd,TF,0,Attchd,RFn,TA,TA,Y,194.0105208,170.1535438,-84.43584951,0,0,0,400,WD,Normal,202500
20,RLD,12400,IR1,Lvl,I,NAmes,Feedr,1Fam,1Story,Hip,SS,Wd Sdng,Wd Sdng,176.0,TA,TA,CB,TA,Fa,No,Rec,0,TA,Y,FuseA,0,0,0,0,TA,TF,0,Attchd,Unf,TA,TA,Y,-95.56100501,-6.774559492,196.0229395,0,234,0,0,WD,Normal,155000
60,RLD,14191,Reg,Lvl,I,Timber,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,0.0,Gd,TA,PC,Gd,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,1,Gd,TF,0,Attchd,Fin,TA,TA,Y,302.5442571,-44.59492803,84.9538294,0,0,0,0,WD,Normal,202900
20,RHD,8400,Reg,Lvl,I,SawyerW,Feedr,1Fam,1Story,Gable,SS,Wd Sdng,AsbShng,0.0,Fa,Fa,CB,TA,Fa,No,Unf,0,Gd,Y,SBrkr,0,0,0,0,TA,TF,0,CarPort,Unf,TA,TA,N,194.887781,141.5169945,33.18974384,0,0,0,0,WD,Normal,82000
90,RLD,8544,Reg,Lvl,I,NAmes,Norm,Duplex,1Story,Gable,SS,Stucco,Stucco,340.0,TA,TA,SL,TA,TA,No,Unf,0,Fa,N,FuseA,0,0,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,-6.882766411,112.4237423,-33.05275096,0,0,0,0,WD,Normal,87500
120,RLD,8849,IR1,Lvl,I,NridgHt,Norm,TwnhsE,1Story,Hip,SS,MetalSd,MetalSd,616.0,Ex,TA,PC,Ex,TA,No,GLQ,0,Ex,Y,SBrkr,0,0,0,0,Ex,TF,1,Attchd,RFn,TA,TA,Y,248.5399716,-11.93406439,-68.24071166,0,0,0,0,WD,Normal,266000
160,RMD,2592,Reg,Lvl,I,MeadowV,Norm,TwnhsE,2Story,Gable,SS,CemntBd,CmentBd,0.0,TA,TA,CB,Gd,TA,No,Rec,232,TA,Y,SBrkr,0,0,0,1,TA,TF,0,Attchd,Unf,TA,TA,Y,36.78647424,105.9616113,18.34562834,0,0,0,0,WD,Normal,85000
50,RLD,6435,Reg,Lvl,I,BrkSide,RRAn,1Fam,1.5Fin,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,BT,TA,TA,No,Unf,0,Gd,Y,SBrkr,0,0,0,0,Fa,TF,1,Detchd,Unf,TA,TA,Y,36.10147347,143.7484622,76.55647436,0,0,0,0,WD,Normal,140200
20,RLD,12772,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,Hip,SS,MetalSd,MetalSd,0.0,TA,Gd,CB,TA,TA,Mn,BLQ,0,TA,Y,SBrkr,0,0,0,0,TA,TF,0,Attchd,RFn,TA,TA,Y,107.3841632,48.88455136,-41.86292503,0,0,0,15500,WD,Normal,151500
20,RLD,17600,IR1,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,30.0,TA,TA,CB,TA,TA,No,BLQ,0,Ex,Y,FuseA,0,1,0,0,TA,TF,2,Attchd,Unf,TA,TA,Y,-65.12684131,107.7430729,14.52798857,0,0,0,0,WD,Normal,157500
160,RLD,2448,Reg,Lvl,I,NridgHt,Norm,Twnhs,2Story,Gable,SS,VinylSd,Wd Shng,106.0,Gd,TA,PC,Gd,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,0,BuiltIn,RFn,TA,TA,Y,67.84297022,-77.74069811,83.20443106,0,0,0,0,WD,Normal,154000
60,RLD,20431,IR2,Lvl,I,NridgHt,Norm,1Fam,2Story,Hip,SS,CemntBd,CmentBd,870.0,Ex,TA,PC,Ex,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Ex,TF,2,Attchd,Fin,TA,TA,Y,396.1501178,-61.62058996,89.15719561,0,0,0,0,New,Partial,437154
120,RLD,7820,IR1,Lvl,I,NridgHt,Norm,TwnhsE,1Story,Hip,SS,MetalSd,MetalSd,362.0,Ex,TA,PC,Ex,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,0,Ex,TF,1,Attchd,RFn,TA,TA,Y,-21.1473467,171.79182,28.06375608,0,0,0,0,New,Partial,318061
120,RLD,5271,IR1,Low,I,ClearCr,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,0.0,TA,TA,PC,Gd,TA,Gd,GLQ,0,Gd,Y,SBrkr,0,1,0,1,Gd,TF,1,Attchd,RFn,TA,TA,Y,-88.97350596,-11.32183532,116.5454008,0,184,0,0,WD,Abnorml,190000
50,RLD,9084,Reg,Lvl,I,Edwards,Artery,1Fam,1.5Fin,Gable,SS,VinylSd,VinylSd,0.0,TA,TA,CB,TA,Fa,Mn,LwQ,380,TA,N,SBrkr,0,0,1,0,TA,TF,0,Detchd,Unf,TA,Fa,Y,154.6424583,-71.02136429,110.8360757,0,0,0,0,ConLw,Normal,95000
30,RMD,8520,Reg,Lvl,I,OldTown,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,TA,Gd,BT,TA,TA,No,Unf,0,Gd,Y,SBrkr,0,0,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,-1.324441948,42.17893278,75.91597246,0,0,0,0,WD,Normal,105900
50,RLD,8400,Reg,Bnk,I,SWISU,Norm,1Fam,1.5Fin,Gable,SS,Wd Sdng,MetalSd,0.0,TA,TA,CB,TA,TA,No,LwQ,0,Ex,Y,SBrkr,0,0,0,0,TA,TF,2,Attchd,Unf,TA,TA,Y,39.39401328,-46.02448907,53.85262526,0,0,0,0,WD,Normal,140000
20,RLD,11249,IR2,Lvl,I,CollgCr,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,Gd,Gd,PC,Gd,Gd,No,ALQ,544,Ex,Y,SBrkr,0,1,0,0,Gd,TF,0,Attchd,RFn,TA,TA,Y,169.9963912,-51.92114767,-1.753362937,0,0,0,0,WD,Normal,177500
20,RLD,9248,IR1,Lvl,I,Gilbert,Norm,1Fam,1Story,Gable,SS,HdBoard,HdBoard,106.0,TA,TA,PC,Gd,TA,No,GLQ,0,Gd,Y,SBrkr,0,1,0,0,Gd,TF,0,Attchd,RFn,TA,TA,Y,-64.23565295,-52.23495176,65.51233509,0,0,0,0,WD,Normal,173000
120,RMD,4224,Reg,Lvl,I,MeadowV,Norm,TwnhsE,1Story,Gable,SS,CemntBd,CmentBd,0.0,TA,TA,PC,Gd,TA,No,ALQ,0,TA,Y,SBrkr,0,1,0,1,TA,TF,1,Attchd,Fin,TA,TA,Y,52.38219897,78.05746172,82.72748314,0,0,0,0,WD,Normal,134000
80,RLD,6930,IR1,Lvl,I,ClearCr,Norm,1Fam,SLvl,Hip,SS,Wd Sdng,ImStucc,120.0,TA,TA,CB,TA,TA,Av,BLQ,294,Ex,Y,FuseF,0,0,1,0,Gd,MD2,0,BuiltIn,Unf,TA,TA,Y,139.9978369,74.83943331,54.80181112,0,0,0,0,WD,Abnorml,130000
60,RLD,12011,IR1,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,530.0,Gd,TA,PC,Gd,TA,Av,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,1,Attchd,RFn,TA,TA,Y,15.89322473,47.64723999,59.88287086,0,374,0,0,WD,Normal,280000
85,RLD,7540,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,SFoyer,Gable,SS,VinylSd,VinylSd,0.0,TA,TA,CB,Gd,TA,Av,GLQ,0,Ex,Y,SBrkr,0,1,0,0,TA,TF,1,Attchd,RFn,TA,TA,Y,106.7629668,28.74700222,96.26743647,0,192,0,0,WD,Normal,156000
50,RLD,9144,Reg,Lvl,I,BrkSide,Norm,1Fam,1.5Fin,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,CB,TA,TA,No,Rec,0,Gd,Y,SBrkr,0,1,0,0,TA,TF,0,Detchd,Unf,TA,TA,N,80.14598255,182.1306563,79.87655576,0,0,0,0,WD,Normal,145000
85,RLD,7301,Reg,Lvl,C,Edwards,Norm,1Fam,SFoyer,Gable,SS,HdBoard,HdBoard,500.0,Gd,TA,SL,TA,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,1,BuiltIn,RFn,TA,TA,Y,60.84966573,-5.719526206,-34.35446698,0,0,0,0,ConLD,Normal,198500
160,RMD,1680,Reg,Lvl,I,BrDale,Norm,Twnhs,2Story,Gable,SS,HdBoard,HdBoard,510.0,TA,TA,CB,TA,TA,No,ALQ,0,Gd,Y,SBrkr,0,0,0,1,Gd,TF,0,Detchd,Unf,TA,TA,Y,332.684275,-19.03240524,63.04345645,0,0,0,0,WD,Normal,118000
60,RLD,18800,IR1,Lvl,FR2P,NWAmes,Norm,1Fam,2Story,Gable,SS,HdBoard,HdBoard,120.0,TA,TA,PC,Gd,TA,Mn,GLQ,0,TA,Y,SBrkr,0,1,0,1,TA,TF,1,Attchd,Fin,TA,TA,Y,29.0730365,24.61687933,58.49022656,0,0,0,0,WD,Normal,190000
70,RMD,10690,Reg,Lvl,I,IDOTRR,Norm,1Fam,2Story,Hip,SS,VinylSd,VinylSd,0.0,TA,Gd,CB,TA,Fa,No,Rec,0,Gd,Y,FuseA,0,0,0,0,TA,TF,0,Detchd,Unf,TA,Fa,Y,-179.5600653,11.20363856,-83.43878166,0,0,0,0,WD,Normal,147000
20,RLD,9500,IR1,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,Plywood,Plywood,247.0,TA,TA,CB,Gd,TA,No,BLQ,0,Gd,Y,SBrkr,0,1,0,1,TA,TF,2,Attchd,RFn,TA,TA,Y,78.29728266,123.3000855,183.7306686,0,185,0,0,WD,Normal,159000
80,RLD,9150,IR1,Lvl,C,NAmes,Norm,1Fam,SLvl,Gable,TG,Plywood,Plywood,305.0,TA,TA,CB,Gd,TA,Gd,GLQ,0,Gd,Y,SBrkr,0,0,1,0,TA,TF,1,Basment,RFn,TA,TA,Y,335.5637835,130.7588893,10.4558176,0,0,0,0,WD,Normal,165000
20,RLD,7800,Reg,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,HdBoard,HdBoard,200.0,TA,TA,PC,TA,TA,No,LwQ,0,Gd,Y,SBrkr,0,0,0,0,TA,TF,1,Attchd,Fin,TA,TA,Y,75.80608523,85.34732528,60.64434904,0,0,0,0,WD,Normal,132000
20,RLD,9830,IR1,Lvl,C,NAmes,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,0.0,TA,Gd,CB,TA,TA,No,ALQ,258,Ex,Y,SBrkr,0,1,0,0,Gd,TF,1,Detchd,Fin,TA,TA,Y,27.75141873,74.45830693,109.5379144,0,182,0,0,WD,Normal,162000
60,RLD,8121,IR1,Lvl,I,Gilbert,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,0.0,TA,TA,PC,Gd,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,1,TA,TF,1,Attchd,RFn,TA,TA,Y,64.90267614,25.61289256,36.0346517,0,0,0,0,WD,Normal,172400
50,RLD,17120,Reg,Lvl,I,ClearCr,Feedr,1Fam,1.5Fin,Gable,SS,WdShing,Plywood,0.0,TA,TA,CB,TA,TA,No,Unf,0,TA,Y,SBrkr,0,0,0,0,TA,MD2,1,Detchd,Fin,TA,TA,N,150.2160418,118.7798169,6.94157305,0,0,0,0,WD,Normal,134432
120,RLD,7175,Reg,Lvl,I,SawyerW,Norm,TwnhsE,1Story,Gable,SS,Plywood,Plywood,0.0,TA,TA,CB,Gd,TA,No,ALQ,121,TA,Y,SBrkr,0,1,0,0,TA,TF,0,Attchd,Unf,TA,TA,Y,49.37646265,105.2018431,28.6664525,0,90,0,0,WD,Normal,125000
20,RLD,10634,Reg,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,PC,TA,TA,No,BLQ,180,TA,Y,SBrkr,0,1,0,0,TA,MD2,0,Attchd,Unf,TA,TA,Y,90.11783355,32.22632544,-75.45459108,0,0,0,0,WD,Normal,123000
60,RLD,8200,Reg,Lvl,I,CollgCr,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,0.0,Gd,TA,PC,Gd,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,1,Gd,TF,1,BuiltIn,Fin,TA,TA,Y,158.5706851,74.19862127,31.91347394,0,0,0,0,WD,Normal,219500
30,RLD,10020,IR1,Low,I,Edwards,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,0.0,Fa,Fa,BT,Fa,Po,Gd,BLQ,0,Gd,N,FuseA,0,1,0,1,Fa,MajD1,0,Attchd,Unf,TA,TA,Y,46.51875613,-32.93587135,135.3684992,0,0,0,0,WD,Normal,61000
85,RLD,8846,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,SFoyer,Gable,SS,VinylSd,VinylSd,0.0,Gd,TA,PC,Gd,TA,Av,GLQ,0,Ex,Y,SBrkr,0,0,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,-73.19177717,96.81356111,87.78814572,0,0,0,0,WD,Normal,148000
60,FVR,11143,IR1,Lvl,C,Somerst,Norm,1Fam,2Story,Gable,SS,CemntBd,CmentBd,0.0,Gd,TA,PC,Gd,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,1,Attchd,RFn,TA,TA,Y,46.48821484,95.67448755,87.94209433,0,0,0,0,WD,Normal,340000
20,RLD,11394,Reg,Lvl,C,StoneBr,Norm,1Fam,1Story,Hip,SS,VinylSd,VinylSd,350.0,Gd,TA,PC,Ex,TA,Av,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Ex,TF,1,Attchd,Fin,TA,TA,Y,-194.0073725,53.4691149,37.37123411,0,0,0,0,New,Partial,394432
60,RLD,8123,IR1,Lvl,I,Gilbert,RRAn,1Fam,2Story,Gable,SS,VinylSd,VinylSd,16.0,TA,TA,PC,Gd,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,1,TA,TF,1,Attchd,Fin,TA,TA,Y,201.2538925,68.48491502,-2.015897522,0,0,0,0,WD,Normal,179000
50,RLD,5000,Reg,Lvl,I,SWISU,Norm,1Fam,1.5Fin,Gable,SS,BrkFace,Wd Sdng,0.0,TA,TA,BT,TA,TA,No,LwQ,0,TA,Y,SBrkr,0,0,0,0,Gd,TF,1,Detchd,Unf,TA,TA,Y,414.5076661,170.4040112,11.40618246,0,0,0,0,WD,Normal,127000
20,FVR,7200,Reg,Lvl,I,Somerst,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,Gd,TA,PC,Gd,Gd,No,Unf,0,Ex,Y,SBrkr,0,1,0,0,Gd,TF,1,Attchd,RFn,TA,TA,Y,86.78892016,87.64149136,47.11442942,0,0,0,0,New,Partial,187750
60,RLD,9245,IR1,Lvl,I,CollgCr,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,0.0,Gd,TA,PC,Gd,TA,Av,Unf,0,Ex,Y,SBrkr,0,0,0,1,Gd,TF,0,Attchd,RFn,TA,TA,Y,154.1496978,-84.15013853,-12.3822491,0,0,0,0,WD,Normal,213500
45,RHD,9000,Reg,Lvl,C,SawyerW,Norm,1Fam,1.5Unf,Gable,SS,Wd Sdng,Wd Sdng,0.0,TA,TA,BT,Fa,Fa,No,Unf,0,TA,N,FuseA,0,0,0,0,TA,TF,0,Detchd,Unf,Fa,Fa,N,146.8315943,124.7208223,17.43781486,0,0,0,0,WD,Normal,76000
60,RLD,53107,IR2,Low,C,ClearCr,Feedr,1Fam,2Story,Gable,SS,HdBoard,HdBoard,0.0,Gd,TA,PC,Gd,TA,Av,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,2,Attchd,Fin,TA,TA,Y,258.2393649,131.9921478,-119.9449769,0,0,0,0,WD,Normal,240000
120,RLD,3182,Reg,Lvl,I,Blmngtn,Norm,TwnhsE,1Story,Gable,SS,VinylSd,VinylSd,16.0,Gd,TA,PC,Gd,TA,No,GLQ,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,1,Attchd,Fin,TA,TA,Y,45.0587821,117.8360059,20.0182912,0,144,0,0,WD,Normal,192000
50,RLD,8410,Reg,Lvl,FR2P,Edwards,Feedr,1Fam,1.5Fin,Gambrel,SS,Wd Sdng,VinylSd,0.0,TA,Fa,PC,TA,TA,No,Unf,0,TA,Y,SBrkr,0,0,0,0,TA,TF,0,Attchd,Unf,TA,TA,N,-53.04041185,96.91615435,98.51435062,0,0,0,0,WD,AdjLand,81000
80,RLD,7200,Reg,Lvl,I,Edwards,Norm,1Fam,SLvl,Hip,SS,MetalSd,MetalSd,255.0,TA,TA,CB,TA,TA,Av,ALQ,0,Ex,Y,SBrkr,0,1,0,0,TA,TF,1,Detchd,Unf,TA,TA,Y,-5.560061442,51.65816059,42.1914906,0,0,0,0,WD,Abnorml,125000
20,RLD,9382,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,125.0,Gd,TA,PC,Gd,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,0,Attchd,RFn,TA,TA,Y,203.6287095,178.8326839,19.60452079,0,0,0,0,WD,Normal,191000
60,RLD,12474,Reg,Lvl,I,NridgHt,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,272.0,Ex,TA,PC,Ex,TA,Av,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Ex,TF,1,BuiltIn,Fin,TA,TA,Y,0.05729714,234.6755772,30.54286519,0,0,0,0,New,Partial,426000
50,RLD,8405,Reg,Lvl,I,Edwards,Norm,1Fam,1.5Fin,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,BT,TA,Gd,No,Rec,391,Ex,Y,SBrkr,0,1,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,-21.08552837,-8.575375991,-35.99144305,0,0,0,0,WD,Normal,119000
60,RLD,12209,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,0.0,TA,TA,PC,Ex,TA,No,ALQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,1,BuiltIn,Fin,TA,TA,Y,88.92195705,9.542792255,-14.97169587,0,0,0,0,WD,Normal,215000
20,RLD,8339,IR1,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,SL,TA,TA,No,Unf,0,TA,Y,SBrkr,0,0,0,0,TA,TF,0,Attchd,RFn,TA,TA,Y,-63.85616064,58.02212987,20.32907697,0,0,0,1200,WD,Normal,106500
30,RLD,7446,Reg,Lvl,C,BrkSide,Feedr,1Fam,1Story,Gable,SS,WdShing,Wd Shng,0.0,TA,TA,CB,TA,TA,No,Rec,0,TA,Y,FuseA,0,0,0,0,TA,TF,2,Attchd,Unf,TA,TA,Y,218.9966828,34.97093946,-0.783478119,0,0,0,0,WD,Abnorml,100000
50,RLD,10134,Reg,Lvl,I,OldTown,Norm,1Fam,1.5Fin,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,CB,TA,TA,No,Unf,0,Gd,Y,FuseA,0,0,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,-60.51748037,-20.63574197,80.57499868,0,0,0,0,WD,Normal,109000
20,RLD,9571,Reg,Lvl,I,Edwards,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,0.0,TA,TA,CB,TA,TA,Av,BLQ,0,TA,Y,SBrkr,0,1,0,0,TA,TF,0,Attchd,Unf,TA,TA,Y,92.79789547,-33.81235703,-31.46550229,0,0,0,0,WD,Normal,129000
20,RLD,7200,Reg,Low,I,CollgCr,Norm,1Fam,1Story,Hip,SS,MetalSd,MetalSd,0.0,TA,TA,CB,TA,TA,Av,Rec,0,TA,Y,SBrkr,0,0,0,0,TA,TF,0,Detchd,RFn,TA,TA,Y,204.1896651,-15.70408449,-4.076349018,0,0,0,0,WD,Normal,123000
60,RLD,7590,Reg,Lvl,I,NAmes,PosN,1Fam,2Story,Gable,SS,VinylSd,VinylSd,288.0,TA,TA,CB,TA,TA,No,ALQ,0,TA,Y,SBrkr,0,0,0,0,TA,TF,1,Attchd,RFn,TA,TA,Y,-21.06110081,-53.07320512,35.76755073,0,0,0,0,WD,Normal,169500
30,RMD,8967,Reg,Lvl,C,IDOTRR,Norm,1Fam,1Story,Gable,SS,MetalSd,MetalSd,0.0,TA,Fa,BT,Fa,Po,No,Unf,0,Gd,Y,Mix,0,0,0,0,TA,MajD2,0,Detchd,Unf,Po,Po,N,-74.16739528,20.67883945,124.5048906,0,0,0,0,WD,Abnorml,67000
60,FVR,8125,Reg,Lvl,I,Somerst,Norm,1Fam,2Story,Gable,SS,CemntBd,CmentBd,100.0,Gd,TA,PC,Gd,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,0,Gd,TF,0,Attchd,Fin,TA,TA,Y,-178.9050859,16.05443442,44.62217001,0,0,0,0,WD,Normal,241000
120,RLD,14963,IR2,Lvl,I,Veenker,Norm,TwnhsE,1Story,Gable,SS,BrkFace,BrkFace,0.0,Gd,TA,PC,Gd,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Ex,TF,2,Attchd,Fin,TA,TA,Y,132.2887331,77.49333908,73.07303556,0,224,0,0,WD,Normal,245500
20,RLD,8767,IR1,Lvl,I,CollgCr,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,Gd,TA,PC,Gd,TA,Av,GLQ,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,1,Attchd,Fin,TA,TA,Y,351.9986032,75.08989186,71.39959986,0,0,0,0,New,Partial,164990
30,RLD,10200,Reg,Lvl,I,Sawyer,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,0.0,TA,TA,PC,TA,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,0,TA,TF,0,Detchd,Unf,TA,TA,N,22.50683764,20.04068573,-5.01629644,0,0,0,0,WD,Normal,108000
60,RLD,12090,Reg,Lvl,C,NoRidge,Norm,1Fam,2Story,Hip,SS,VinylSd,VinylSd,650.0,Gd,TA,PC,Gd,TA,No,Unf,0,Gd,Y,SBrkr,0,0,0,1,Gd,TF,1,BuiltIn,Fin,TA,TA,Y,79.72719574,-4.747353702,75.33890549,0,0,0,0,WD,Abnorml,258000
60,RLD,10364,IR1,Lvl,I,Gilbert,Norm,1Fam,2Story,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,PC,Gd,TA,No,Unf,0,Gd,Y,SBrkr,0,0,0,1,TA,TF,1,BuiltIn,Fin,TA,TA,Y,59.46245731,87.97230424,6.101961328,0,0,0,0,WD,Normal,168000
